# EPIC structured flight events for epic_2026-07-03-11-21-46.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1783045305.987
# box | down=[-150, -150, 0.4] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=0.9 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.50
# frontier | cell=0.40 cluster_sz=[0.5, 5.0] minpts=4 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=8 local_tsp=16
# fsm | takeoff_h=1.20 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1783045339.185][    +19.0s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.34m tol=0.20m goal=(-0.02, -0.00, 1.20) (x1)
[1783045339.823][    +19.7s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.4m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.4m goal=(-0.0, -0.0, 1.2) t=8ms (prev cycle x1/1.5s)
[1783045339.823][    +19.7s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.37m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045340.433][    +20.3s][EXEC_TRAJ] BATT 23.0V | v=23.36V pct=62%
[1783045340.455][    +20.3s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.39m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045341.102][    +21.0s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.5m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.5m goal=(-0.0, -0.0, 1.2) t=7ms (prev x1/0.6s)
[1783045341.103][    +21.0s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.48m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045341.743][    +21.6s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.43m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045342.407][    +22.3s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.3m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.3m goal=(-0.0, -0.0, 1.2) t=7ms (prev cycle x1/1.3s)
[1783045342.407][    +22.3s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.27m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045342.442][    +22.3s][EXEC_TRAJ] BATT 23.0V | v=23.41V pct=63%
[1783045343.076][    +22.9s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.1m (connected via 2) | clusters=0(reach 0) vp=0(reach 0) pipe[tot=0 dorm=0 unreach=0 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.1m goal=(-0.0, -0.0, 1.2) t=7ms
[1783045343.076][    +22.9s][PLAN_TRAJ_RTH] RTH d2goal=0.0m | auto-home(xy) dist=0.14m tol=0.20m goal=(-0.02, -0.00, 1.20)
[1783045343.076][    +22.9s][LAND] STATE PLAN_TRAJ_RTH -> LAND [RTH: home reached -> AUTO.LAND] |  (prev cycle x12/3.9s)
[1783045343.430][    +23.3s][LAND] PX4 mode=AUTO.LAND armed=1 (LEFT OFFBOARD: pilot takeover or failsafe) | prev=OFFBOARD
[1783045344.432][    +24.3s][LAND] BATT 23.0V | v=23.43V pct=62%
[1783045347.426][    +27.3s][LAND] PX4 mode=OFFBOARD armed=0 | prev=AUTO.LAND
[1783045347.427][    +27.3s][LANDED] STATE LAND -> LANDED [LAND: touchdown & disarmed]
[1783045347.437][    +27.3s][LANDED] MISSION LANDED (mission complete, disarmed)
