# EPIC structured flight events for epic_2026-07-02-19-31-32.bag
# line format: [ros_epoch][+rel_s][FSM_STATE] CATEGORY signature | detail
# EPIC session info | published_ros=1782988291.234
# box | down=[-150, -150, 0.5] up=[150, 150, 2]
# corridor | DilateSoft=0.60 DilateHard=0.45 MaxCorridor=4.0 MaxVel=1.0 max_traj_len=10.0 safe_dist=0.70 bubble_min_r=0.61
# frontier | cell=0.40 cluster_sz=[1.0, 5.0] minpts=5 dphi=0.26 znum=3 good_dir_score=0.60
# viewpoint | pillar_r=[0.5, 2.0]x8 h=[-1.0, 1.0]x5 circle_n=4 local_tsp=12
# fsm | takeoff_h=1.10 goal_tol=0.20 replan_t=0.20 emerg_err=3.0 max_hz=30 avoid_to=0.5 auto_rth_land=1 rth_land_xy_tol=0.20 avoidance=1
# topics | odom=/Odometry cloud=/cloud_registered
[1782988324.351][    +20.9s][PLAN_TRAJ_RTH] RTH d2goal=1.0m | auto-home(xy) dist=1.45m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988324.936][    +21.4s][EXEC_TRAJ] BATT 23.0V | v=23.04V pct=50% (x1)
[1782988324.999][    +21.5s][EXEC_TRAJ] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.9m (connected via 1) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=2 dorm=1 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.9m goal=(-0.0, -0.0, 1.1) t=18ms
[1782988324.999][    +21.5s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.87m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988325.033][    +21.5s][PLAN_TRAJ_RTH] LOCAL RTH FAIL | why: minco optimize failed | t=33.4ms (prev x7/4.5s)
[1782988325.033][    +21.5s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [PLAN_TRAJ_RTH: plan failed] |  (prev cycle x14/4.5s)
[1782988325.043][    +21.5s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.83m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988325.087][    +21.6s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.79m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988325.130][    +21.6s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.75m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988325.175][    +21.7s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.71m tol=0.20m goal=(-0.04, -0.04, 1.10)
[1782988325.244][    +21.7s][PLAN_TRAJ_RTH] GLOBAL result=RTH_PATH_OK | why: path to goal: 2 nodes / 0.7m (connected via 1) | clusters=1(reach 0) vp=0(reach 0) pipe[tot=2 dorm=1 unreach=1 cons=0 nocand=0 topo=0 novis=0 ok=0] tour=2n/0.7m goal=(-0.0, -0.0, 1.1) t=20ms
[1782988325.244][    +21.7s][PLAN_TRAJ_RTH] STATE PLAN_TRAJ_RTH -> PLAN_TRAJ_RTH [planGoalPath: succeed] |  (prev x4/0.2s)
[1782988325.246][    +21.7s][PLAN_TRAJ_RTH] RTH d2goal=0.5m | auto-home(xy) dist=0.67m tol=0.20m goal=(-0.04, -0.04, 1.10)
